"Method","M","Mean_NNDR_Synth","Mean_NNDR_Holdout"
"synthpop",5,0.888845808013422,0.15294001473973
"synthpop",5,0.884304694308632,0.15294001473973
"synthpop",5,0.897354196667553,0.15294001473973
"synthpop",5,0.886531856057361,0.15294001473973
"synthpop",5,0.886387298268523,0.15294001473973
"synthpop",10,0.888845808013422,0.15294001473973
"synthpop",10,0.883281731610297,0.15294001473973
"synthpop",10,0.884304694308632,0.15294001473973
"synthpop",10,0.897354196667553,0.15294001473973
"synthpop",10,0.886531856057361,0.15294001473973
"synthpop",10,0.886387298268523,0.15294001473973
"synthpop",10,0.889528582045663,0.15294001473973
"synthpop",10,0.883214967663123,0.15294001473973
"synthpop",10,0.87946236452996,0.15294001473973
"synthpop",10,0.891296818140166,0.15294001473973
"synthpop",50,0.888845808013422,0.15294001473973
"synthpop",50,0.883281731610297,0.15294001473973
"synthpop",50,0.875092405919817,0.15294001473973
"synthpop",50,0.885123400048624,0.15294001473973
"synthpop",50,0.879343631695981,0.15294001473973
"synthpop",50,0.888924648726178,0.15294001473973
"synthpop",50,0.885050340397904,0.15294001473973
"synthpop",50,0.881750396446562,0.15294001473973
"synthpop",50,0.886650528037651,0.15294001473973
"synthpop",50,0.87294250519542,0.15294001473973
"synthpop",50,0.886081704704858,0.15294001473973
"synthpop",50,0.884304694308632,0.15294001473973
"synthpop",50,0.880145967811998,0.15294001473973
"synthpop",50,0.887385710626884,0.15294001473973
"synthpop",50,0.882698450124938,0.15294001473973
"synthpop",50,0.882696827959584,0.15294001473973
"synthpop",50,0.885659316088046,0.15294001473973
"synthpop",50,0.873341551549081,0.15294001473973
"synthpop",50,0.887246565375272,0.15294001473973
"synthpop",50,0.884701965919176,0.15294001473973
"synthpop",50,0.881895808640128,0.15294001473973
"synthpop",50,0.881914044123794,0.15294001473973
"synthpop",50,0.897354196667553,0.15294001473973
"synthpop",50,0.895000310665583,0.15294001473973
"synthpop",50,0.885489614273522,0.15294001473973
"synthpop",50,0.88389465463036,0.15294001473973
"synthpop",50,0.880067580343662,0.15294001473973
"synthpop",50,0.881852165977374,0.15294001473973
"synthpop",50,0.884113049928665,0.15294001473973
"synthpop",50,0.887555861323485,0.15294001473973
"synthpop",50,0.878462833473234,0.15294001473973
"synthpop",50,0.886540120532046,0.15294001473973
"synthpop",50,0.87384722855246,0.15294001473973
"synthpop",50,0.886531856057361,0.15294001473973
"synthpop",50,0.876123632128621,0.15294001473973
"synthpop",50,0.887903369078486,0.15294001473973
"synthpop",50,0.877350515063107,0.15294001473973
"synthpop",50,0.882584650851174,0.15294001473973
"synthpop",50,0.869623706552299,0.15294001473973
"synthpop",50,0.871878158511917,0.15294001473973
"synthpop",50,0.885666372165103,0.15294001473973
"synthpop",50,0.880913078321093,0.15294001473973
"synthpop",50,0.879139615588832,0.15294001473973
"synthpop",50,0.887102961670977,0.15294001473973
"synthpop",50,0.886387298268523,0.15294001473973
"synthpop",50,0.885803347256749,0.15294001473973
"synthpop",50,0.889528582045663,0.15294001473973
"synthpop",50,0.883214967663123,0.15294001473973
"synthpop",50,0.87946236452996,0.15294001473973
"synthpop",50,0.891296818140166,0.15294001473973
"arf",5,0.913473420651244,0.15294001473973
"arf",5,0.908886906179597,0.15294001473973
"arf",5,0.909411673842258,0.15294001473973
"arf",5,0.911472069427322,0.15294001473973
"arf",5,0.920817665343758,0.15294001473973
"arf",10,0.913473420651244,0.15294001473973
"arf",10,0.916979523922692,0.15294001473973
"arf",10,0.908886906179597,0.15294001473973
"arf",10,0.909411673842258,0.15294001473973
"arf",10,0.911472069427322,0.15294001473973
"arf",10,0.920817665343758,0.15294001473973
"arf",10,0.912694183712918,0.15294001473973
"arf",10,0.911205347631728,0.15294001473973
"arf",10,0.904955925425109,0.15294001473973
"arf",10,0.908147344975977,0.15294001473973
"arf",50,0.913473420651244,0.15294001473973
"arf",50,0.916979523922692,0.15294001473973
"arf",50,0.915871892140256,0.15294001473973
"arf",50,0.910577854627836,0.15294001473973
"arf",50,0.913725031510234,0.15294001473973
"arf",50,0.910867275786594,0.15294001473973
"arf",50,0.90947206920599,0.15294001473973
"arf",50,0.911246237377878,0.15294001473973
"arf",50,0.914549997876594,0.15294001473973
"arf",50,0.910367419138294,0.15294001473973
"arf",50,0.914517482973957,0.15294001473973
"arf",50,0.908886906179597,0.15294001473973
"arf",50,0.914902786673003,0.15294001473973
"arf",50,0.913778863549743,0.15294001473973
"arf",50,0.913391136102188,0.15294001473973
"arf",50,0.919422133497717,0.15294001473973
"arf",50,0.904632801097151,0.15294001473973
"arf",50,0.918397621853488,0.15294001473973
"arf",50,0.911484397022655,0.15294001473973
"arf",50,0.908415200959855,0.15294001473973
"arf",50,0.905541212263979,0.15294001473973
"arf",50,0.916878542032735,0.15294001473973
"arf",50,0.909411673842258,0.15294001473973
"arf",50,0.910002082958672,0.15294001473973
"arf",50,0.921185170315171,0.15294001473973
"arf",50,0.91224457723957,0.15294001473973
"arf",50,0.915989211981192,0.15294001473973
"arf",50,0.904782881367041,0.15294001473973
