"Method","M","DCR_Synth_Train","DCR_Holdout_Train"
"synthpop",5,0.012839218208262,0.0075088975409821
"synthpop",5,0.0125015440280604,0.0075088975409821
"synthpop",5,0.0122471905999813,0.0075088975409821
"synthpop",5,0.0124244220939836,0.0075088975409821
"synthpop",5,0.0124201071643979,0.0075088975409821
"synthpop",10,0.012839218208262,0.0075088975409821
"synthpop",10,0.0124912458539375,0.0075088975409821
"synthpop",10,0.0125015440280604,0.0075088975409821
"synthpop",10,0.0122471905999813,0.0075088975409821
"synthpop",10,0.0124244220939836,0.0075088975409821
"synthpop",10,0.0124201071643979,0.0075088975409821
"synthpop",10,0.0124349522033834,0.0075088975409821
"synthpop",10,0.0122256663902849,0.0075088975409821
"synthpop",10,0.0124526137873519,0.0075088975409821
"synthpop",10,0.0122644913867036,0.0075088975409821
"synthpop",50,0.012839218208262,0.0075088975409821
"synthpop",50,0.0124912458539375,0.0075088975409821
"synthpop",50,0.0124464324535805,0.0075088975409821
"synthpop",50,0.0123762116126813,0.0075088975409821
"synthpop",50,0.0126012539384786,0.0075088975409821
"synthpop",50,0.0128069555801371,0.0075088975409821
"synthpop",50,0.0129985860300893,0.0075088975409821
"synthpop",50,0.0123472129821277,0.0075088975409821
"synthpop",50,0.0126257698591653,0.0075088975409821
"synthpop",50,0.0121981014709446,0.0075088975409821
"synthpop",50,0.0127450219635105,0.0075088975409821
"synthpop",50,0.0125015440280604,0.0075088975409821
"synthpop",50,0.0121983303749433,0.0075088975409821
"synthpop",50,0.0121786311502688,0.0075088975409821
"synthpop",50,0.0126177605028914,0.0075088975409821
"synthpop",50,0.0123070353463587,0.0075088975409821
"synthpop",50,0.0122714634728642,0.0075088975409821
"synthpop",50,0.012376697504759,0.0075088975409821
"synthpop",50,0.0125901669590538,0.0075088975409821
"synthpop",50,0.0121299099140334,0.0075088975409821
"synthpop",50,0.0124453064628535,0.0075088975409821
"synthpop",50,0.0123860151955273,0.0075088975409821
"synthpop",50,0.0122471905999813,0.0075088975409821
"synthpop",50,0.0124188184825787,0.0075088975409821
"synthpop",50,0.0127137865820501,0.0075088975409821
"synthpop",50,0.012264485312704,0.0075088975409821
"synthpop",50,0.0121502817831564,0.0075088975409821
"synthpop",50,0.0121796999259784,0.0075088975409821
"synthpop",50,0.0126291270261533,0.0075088975409821
"synthpop",50,0.0122565427109903,0.0075088975409821
"synthpop",50,0.0121691131931111,0.0075088975409821
"synthpop",50,0.0121781582096515,0.0075088975409821
"synthpop",50,0.0122079405889408,0.0075088975409821
"synthpop",50,0.0124244220939836,0.0075088975409821
"synthpop",50,0.0122564182148142,0.0075088975409821
"synthpop",50,0.0122820399505464,0.0075088975409821
"synthpop",50,0.012502186504117,0.0075088975409821
"synthpop",50,0.012319972584293,0.0075088975409821
"synthpop",50,0.0123487616380009,0.0075088975409821
"synthpop",50,0.0127704418183348,0.0075088975409821
"synthpop",50,0.0124086723235236,0.0075088975409821
"synthpop",50,0.0116399630333583,0.0075088975409821
"synthpop",50,0.0119534269056505,0.0075088975409821
"synthpop",50,0.012336575116781,0.0075088975409821
"synthpop",50,0.0124201071643979,0.0075088975409821
"synthpop",50,0.0121717111122266,0.0075088975409821
"synthpop",50,0.0124349522033834,0.0075088975409821
"synthpop",50,0.0122256663902849,0.0075088975409821
"synthpop",50,0.0124526137873519,0.0075088975409821
"synthpop",50,0.0122644913867036,0.0075088975409821
"arf",5,0.0128494086961674,0.0075088975409821
"arf",5,0.0129946518287548,0.0075088975409821
"arf",5,0.0129881906809204,0.0075088975409821
"arf",5,0.0125973786980039,0.0075088975409821
"arf",5,0.0131578426380009,0.0075088975409821
"arf",10,0.0128494086961674,0.0075088975409821
"arf",10,0.0136562803213175,0.0075088975409821
"arf",10,0.0129946518287548,0.0075088975409821
"arf",10,0.0129881906809204,0.0075088975409821
"arf",10,0.0125973786980039,0.0075088975409821
"arf",10,0.0131578426380009,0.0075088975409821
"arf",10,0.0132778357074661,0.0075088975409821
"arf",10,0.0125620144757218,0.0075088975409821
"arf",10,0.013466814698671,0.0075088975409821
"arf",10,0.0129372579135142,0.0075088975409821
"arf",50,0.0128494086961674,0.0075088975409821
"arf",50,0.0136562803213175,0.0075088975409821
"arf",50,0.0127640707394985,0.0075088975409821
"arf",50,0.0131682923659467,0.0075088975409821
"arf",50,0.0132028643755488,0.0075088975409821
"arf",50,0.0129479998157028,0.0075088975409821
"arf",50,0.0131325325480071,0.0075088975409821
"arf",50,0.0126112989713457,0.0075088975409821
"arf",50,0.013236310445214,0.0075088975409821
"arf",50,0.0128643093584217,0.0075088975409821
"arf",50,0.0128133174797695,0.0075088975409821
"arf",50,0.0129946518287548,0.0075088975409821
"arf",50,0.0128792484683437,0.0075088975409821
"arf",50,0.0131079708153122,0.0075088975409821
"arf",50,0.0128856223374177,0.0075088975409821
"arf",50,0.0127749501679992,0.0075088975409821
"arf",50,0.0130764374436487,0.0075088975409821
"arf",50,0.0129370442623055,0.0075088975409821
"arf",50,0.0131549852363999,0.0075088975409821
"arf",50,0.0129449574979378,0.0075088975409821
"arf",50,0.0129803004762068,0.0075088975409821
"arf",50,0.0131186153424469,0.0075088975409821
"arf",50,0.0129881906809204,0.0075088975409821
"arf",50,0.0126747779600988,0.0075088975409821
"arf",50,0.0129000974259066,0.0075088975409821
"arf",50,0.012997455959213,0.0075088975409821
"arf",50,0.0129720616099975,0.0075088975409821
"arf",50,0.0131206681608462,0.0075088975409821
"arf",50,0.0131374396090275,0.0075088975409821
"arf",50,0.0129985489898056,0.0075088975409821
"arf",50,0.0130968540943541,0.0075088975409821
"arf",50,0.0130989640409644,0.0075088975409821
"arf",50,0.0131082665940251,0.0075088975409821
"arf",50,0.0125973786980039,0.0075088975409821
"arf",50,0.0126566565513851,0.0075088975409821
"arf",50,0.0130930168475532,0.0075088975409821
"arf",50,0.0132336417891418,0.0075088975409821
"arf",50,0.0134357758565689,0.0075088975409821
"arf",50,0.0127844968505557,0.0075088975409821
"arf",50,0.0123950335956399,0.0075088975409821
"arf",50,0.0131300295626127,0.0075088975409821
"arf",50,0.0128554905682611,0.0075088975409821
"arf",50,0.0131729269933982,0.0075088975409821
"arf",50,0.0131449530398542,0.0075088975409821
"arf",50,0.0131578426380009,0.0075088975409821
"arf",50,0.0135490412108256,0.0075088975409821
"arf",50,0.0132778357074661,0.0075088975409821
"arf",50,0.0125620144757218,0.0075088975409821
"arf",50,0.013466814698671,0.0075088975409821
"arf",50,0.0129372579135142,0.0075088975409821
"privbayes",5,0.017578493383762,0.0075088975409821
"privbayes",5,0.0181330754553005,0.0075088975409821
"privbayes",5,0.0181197565203559,0.0075088975409821
"privbayes",5,0.0174773725483295,0.0075088975409821
"privbayes",5,0.0179620191493271,0.0075088975409821
"privbayes",10,0.017578493383762,0.0075088975409821
"privbayes",10,0.0181123994271401,0.0075088975409821
"privbayes",10,0.0181330754553005,0.0075088975409821
"privbayes",10,0.0181197565203559,0.0075088975409821
